step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.006200757343322039,0.5786890387535095,0.017567606642842293,0.017567606642842293,,,,
2,,,,,0.0020502808038145304,0.5512754917144775,0.014807026833295822,0.014807026833295822,,,,
3,,,,,0.001707062590867281,0.4809844493865967,0.012878142297267914,0.012878142297267914,,,,
4,,,,,0.0016073453007265925,0.43418610095977783,0.011658325791358948,0.011658325791358948,,,,
5,,,,,0.0015315765049308538,0.3641292452812195,0.00986902043223381,0.00986902043223381,,,,
6,,,,,0.001393911661580205,0.3277882933616638,0.008891663514077663,0.008891663514077663,,,,
7,,,,,0.0013225056463852525,0.29129987955093384,0.00794374942779541,0.00794374942779541,,,,
8,,,,,0.001249769702553749,0.26347118616104126,0.007211664691567421,0.007211664691567421,,,,
9,,,,,0.0010414820862933993,0.22198566794395447,0.00607038289308548,0.00607038289308548,,,,
10,0.0007339505827985704,0.1647219955921173,0.004485025070607662,0.004485025070607662,0.0009497735882177949,0.20072868466377258,0.005493103992193937,0.005493103992193937,85.04950495049505,85.0,8.616200373722958,5.770966339111328
11,,,,,0.0009104348719120026,0.19618046283721924,0.005359728820621967,0.005359728820621967,,,,
12,,,,,0.0008674295386299491,0.19506320357322693,0.005310295149683952,0.005310295149683952,,,,
13,,,,,0.0008277907618321478,0.19145801663398743,0.005200346000492573,0.005200346000492573,,,,
14,,,,,0.0007660585106350482,0.16689670085906982,0.004555447027087212,0.004555447027087212,,,,
15,,,,,0.0007262105355039239,0.16150322556495667,0.004400685429573059,0.004400685429573059,,,,
16,,,,,0.0007148995064198971,0.14902402460575104,0.004083050414919853,0.004083050414919853,,,,
17,,,,,0.0006886220071464777,0.15078505873680115,0.0041139377281069756,0.0041139377281069756,,,,
18,,,,,0.0006276143249124289,0.12976360321044922,0.0035578974056988955,0.0035578974056988955,,,,
19,,,,,0.0006784624420106411,0.14286187291145325,0.0039107780903577805,0.0039107780903577805,,,,
20,0.0004053967713844031,0.09733645617961884,0.002636109944432974,0.002636109944432974,0.0006395301898010075,0.12976427376270294,0.0035638720728456974,0.0035638720728456974,100.0,100.0,3.832667424128606,3.9454425048828123
21,,,,,0.0005978292902000248,0.12630422413349152,0.003456519916653633,0.003456519916653633,,,,
22,,,,,0.0005610976368188858,0.11312130093574524,0.003108581528067589,0.003108581528067589,,,,
23,,,,,0.0005294304573908448,0.10881692916154861,0.0029851384460926056,0.0029851384460926056,,,,
24,,,,,0.0005318925250321627,0.11258697509765625,0.003080620663240552,0.003080620663240552,,,,
25,,,,,0.0005068198661319911,0.10313040763139725,0.0028316702228039503,0.0028316702228039503,,,,
26,,,,,0.0005145326722413301,0.10744632035493851,0.0029434245079755783,0.0029434245079755783,,,,
27,,,,,0.0005285234074108303,0.10234639793634415,0.002822921611368656,0.002822921611368656,,,,
28,,,,,0.0004744763136841357,0.089530810713768,0.002475508488714695,0.002475508488714695,,,,
29,,,,,0.00045053049689158797,0.08135265856981277,0.002259081695228815,0.002259081695228815,,,,
30,0.0003087349468842149,0.06147685647010803,0.0016912888968363404,0.0016912888968363404,0.00046596702304668725,0.08845840394496918,0.0024444437585771084,0.0024444437585771084,100.0,100.0,3.405041034405048,3.405041034405048
31,,,,,0.00044267598423175514,0.07829506695270538,0.002178714843466878,0.002178714843466878,,,,
32,,,,,0.00043413275852799416,0.085243821144104,0.002348161768168211,0.002348161768168211,,,,
33,,,,,0.00043410054058767855,0.08736288547515869,0.002401122357696295,0.002401122357696295,,,,
34,,,,,0.0004377279838081449,0.08897324651479721,0.0024431950878351927,0.0024431950878351927,,,,
35,,,,,0.00042460320401005447,0.08272523432970047,0.0022804327309131622,0.0022804327309131622,,,,
36,,,,,0.00045163786853663623,0.09083420783281326,0.0024966741912066936,0.0024966741912066936,,,,
37,,,,,0.00041559129022061825,0.0836305320262909,0.0022985588293522596,0.0022985588293522596,,,,
38,,,,,0.00040840476867742836,0.07955813407897949,0.002193155698478222,0.002193155698478222,,,,
39,,,,,0.0004040206840727478,0.076798215508461,0.002121965866535902,0.002121965866535902,,,,
40,0.00027290359139442444,0.0754670798778534,0.002023128792643547,0.002023128792643547,0.000410479202400893,0.0831933543086052,0.002285073744133115,0.002285073744133115,100.0,100.0,3.8860916724571815,3.8860916724571815
41,,,,,0.0004440116754267365,0.09369887411594391,0.0025644777342677116,0.0025644777342677116,,,,
42,,,,,0.0004477243637666106,0.08585060387849808,0.002370127011090517,0.002370127011090517,,,,
